  UNIVERS,,CATÉGORIES,,SOUS-CATÉGORIES (FILTRES),,TYPE PRODUIT,,,,,FR,,EN,,
Femme,Women ,Vêtements,Clothing,Vestes matelassées & Doudounes,Puffer jackets,Doudounes longues,Long puffer jackets ,,,,,,,,
Femme,Women ,Vêtements,Clothing,Vestes matelassées & Doudounes,Puffer jackets,Doudounes sans manches,Sleeveless jackets,,,,,,,,
Femme,Women ,Vêtements,Clothing,Vêtements d'intérieur,Homewear,Vêtements d'intérieur,Homewear,Catégorie_Vêtements d'intérieur,Category_Homewear,"Vêtements d'intérieur,Homewear,Catégorie_?,Category_?",?,Category_?,?,"Catégorie_?,Category_?",
CHAUSSURES FEMME,,,,,,,,Catégorie_,Category_,",,Catégorie_,Category_",,Category_,,"Catégorie_,Category_",
Femme,Women ,Chaussures,Shoes ,Ballerines,Ballerina shoes,Ballerines,Ballerina shoes,Catégorie_Ballerines,Category_Ballerina shoes,"Ballerines,Ballerina shoes,Catégorie_Chaussures plates,Category_Flats",Chaussures plates,Category_Flats,Flats,"Catégorie_Chaussures plates,Category_Flats",
Femme,Women ,Chaussures,Shoes ,Baskets,Sneakers,Baskets,Sneakers,Catégorie_Baskets,Category_Sneakers,"Baskets,Sneakers,Catégorie_Baskets,Category_Sneakers",Baskets,Category_Sneakers,Sneakers,"Catégorie_Baskets,Category_Sneakers",
Femme,Women ,Chaussures,Shoes ,Bottes & Bottines    ,Boots  ,Bottes & Bottines    ,Boots  ,Catégorie_Bottes & Bottines    ,Category_Boots  ,"Bottes & Bottines    ,Boots  ,Catégorie_Baskets,Category_Sneakers",Baskets,Category_Sneakers,Sneakers,"Catégorie_Baskets,Category_Sneakers",
Femme,Women ,Chaussures,Shoes ,Chaussons,Slippers,Chaussons,Slippers,Catégorie_Chaussons,Category_Slippers,"Chaussons,Slippers,Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",Bottes & Bottines,Category_Boots & Ankle Boots,Boots & Ankle Boots,"Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",
Femme,Women ,Chaussures,Shoes ,Escarpins,Pumps,Escarpins,Pumps,Catégorie_Escarpins,Category_Pumps,"Escarpins,Pumps,Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",Bottes & Bottines,Category_Boots & Ankle Boots,Boots & Ankle Boots,"Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",
Femme,Women ,Chaussures,Shoes ,Espadrilles,Espadrilles,Espadrilles,Espadrilles,Catégorie_Espadrilles,Category_Espadrilles,"Espadrilles,Espadrilles,Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",Bottes & Bottines,Category_Boots & Ankle Boots,Boots & Ankle Boots,"Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",
Femme,Women ,Chaussures,Shoes ,Mocassins,Loafers,Mocassins,Loafers,Catégorie_Mocassins,Category_Loafers,"Mocassins,Loafers,Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",Bottes & Bottines,Category_Boots & Ankle Boots,Boots & Ankle Boots,"Catégorie_Bottes & Bottines,Category_Boots & Ankle Boots",
Femme,Women ,Chaussures,Shoes ,Mules,Mules,Mules,Mules,Catégorie_Mules,Category_Mules,"Mules,Mules,Catégorie_Chaussures plates,Category_Flats",Chaussures plates,Category_Flats,Flats,"Catégorie_Chaussures plates,Category_Flats",
Femme,Women ,Chaussures,Shoes ,Richelieu & Derbies,Brogues & Oxfords,Richelieu & Derbies,Brogues & Oxfords,Catégorie_Richelieu & Derbies,Category_Brogues & Oxfords,"Richelieu & Derbies,Brogues & Oxfords,Catégorie_Chaussures à talons,Category_High Heels",Chaussures à talons,Category_High Heels,High Heels,"Catégorie_Chaussures à talons,Category_High Heels",
Femme,Women ,Chaussures,Shoes ,Sandales,Sandals,Sandales,Sandals,Catégorie_Sandales,Category_Sandals,"Sandales,Sandals,Catégorie_Chaussures plates,Category_Flats",Chaussures plates,Category_Flats,Flats,"Catégorie_Chaussures plates,Category_Flats",
Femme,Women ,Chaussures,Shoes ,Tongs & Claquettes,Flip Flops & Slides,Tongs & Claquettes,Flip Flops & Slides,Catégorie_Tongs & Claquettes,Category_Flip Flops & Slides,"Tongs & Claquettes,Flip Flops & Slides,Catégorie_Chaussures plates,Category_Flats",Chaussures plates,Category_Flats,Flats,"Catégorie_Chaussures plates,Category_Flats",
PRE-OWNED,,,,,,,,,,,,,,,
Femme,Women ,Vêtements ,Clothing,Vêtements ,Clothing,Vêtements ,Clothing,,,,,,,,
Femme,Women ,Accessoires,Accessories,Accessoires,Accessories,Accessoires,Accessories,,,,,,,,
Femme,Women ,Chaussures,Shoes,Chaussures,Shoes,Chaussures,Shoes,,,,,,,,
Femme,Women ,Sacs,Bags,Sacs,Bags,Sacs,Bags,,,,,,,,
Femme,Women ,Bijoux & Montres,Jewelry & Watches,Bijoux & Montres,Jewelry & Watches,Bijoux & Montres,Jewelry & Watches,,,,,,,,
SACS FEMME,,,,,,,,Catégorie_,Category_,",,Catégorie_,Category_",,Category_,,"Catégorie_,Category_",
